dataset,repeat,fold,sample,seed,problem_type,sampler,sampler_method,requested_fraction,retained_fraction,n_train_full,n_train_sampled,accuracy,baseline_accuracy,accuracy_delta,rmse,baseline_rmse,rmse_delta,quality_delta,sampling_seconds,fit_seconds,predict_seconds,measured_total_seconds,predict_speedup,total_speedup
airfoil_self_noise,0,0,0,0,regression,knn-75,knn,0.75,0.7504990019960079,1002,752,,,,1.088530654919907,0.9294432072632245,0.15908744765668248,-0.15908744765668248,0.04919283324852586,0.036722833290696144,587.7336311656982,587.8195468322374,0.6124917889307157,0.6124427416094612
airfoil_self_noise,0,0,0,0,regression,stratified-50,stratified,0.5,0.5,1002,501,,,,1.5773197413497948,0.9294432072632245,0.6478765340865703,-0.6478765340865703,0.018268166109919548,0.04429366625845432,216.8928406657651,216.95540249813348,1.6597229399662907,1.6593539994315825
airfoil_self_noise,0,0,0,0,regression,random-25,random,0.25,0.250499001996008,1002,251,,,,1.9283862876461235,0.9294432072632245,0.998943080382899,-0.998943080382899,0.0045701670460402966,0.028294834308326244,119.94268650002778,119.97555150138214,3.0012836436454218,3.0006598038386114
airfoil_self_noise,0,0,0,1,regression,random-75,random,0.75,0.7504990019960079,1002,752,,,,1.0774160645903577,0.9310261023605837,0.14638996222977396,-0.14638996222977396,0.0012389589101076126,0.018434624653309584,259.1634131669998,259.18308675056323,1.3873385493474757,1.3873138520223303
airfoil_self_noise,0,0,0,1,regression,knn-50,knn,0.5,0.5,1002,501,,,,1.3566284220827551,0.9310261023605837,0.42560231972217144,-0.42560231972217144,0.032585958018898964,0.01404066663235426,198.3437162907794,198.39034291543067,1.812749102371037,1.8124283731503883
airfoil_self_noise,0,0,0,1,regression,random-50,random,0.5,0.5,1002,501,,,,1.6023982177683556,0.9310261023605837,0.6713721154077719,-0.6713721154077719,0.0028406670317053795,0.026747666765004396,196.03249295940623,196.06208129320294,1.8341214165015995,1.8339511857024602
airfoil_self_noise,0,0,0,1,regression,stratified-75,stratified,0.75,0.7504990019960079,1002,752,,,,1.1605940910048391,0.9310261023605837,0.22956798864425543,-0.22956798864425543,0.0036825002171099186,0.03361208410933614,264.1761203329079,264.21341491723433,1.3610139826943999,1.3609009465760757
airfoil_self_noise,0,0,0,1,regression,random-25,random,0.25,0.250499001996008,1002,251,,,,2.141686513158958,0.9310261023605837,1.2106604107983743,-1.2106604107983743,0.0011737910099327564,0.017594582866877317,124.09682083316147,124.11558920703828,2.8973134948431074,2.897043705437862
airfoil_self_noise,0,0,0,1,regression,full,full,1.0,1.0,1002,1002,,,,0.9310261023605837,0.9310261023605837,0.0,0.0,0.0007353746332228184,0.02015741728246212,359.547393667046,359.56828645896167,1.0,1.0
airfoil_self_noise,0,0,0,1,regression,stratified-50,stratified,0.5,0.5,1002,501,,,,1.4322468284609209,0.9310261023605837,0.5012207261003372,-0.5012207261003372,0.0023557497188448906,0.017405999824404716,195.9715248751454,195.99128662468866,1.8346920242423777,1.8346136333474508
airfoil_self_noise,0,0,0,1,regression,knn-75,knn,0.75,0.7504990019960079,1002,752,,,,1.0916073182647474,0.9310261023605837,0.16058121590416374,-0.16058121590416374,0.021247499622404575,0.02008200017735362,253.30321541707963,253.34454491687939,1.4194347792823263,1.4192856869167385
airfoil_self_noise,0,0,0,1,regression,stratified-25,stratified,0.25,0.250499001996008,1002,251,,,,2.218802785630782,0.9310261023605837,1.2877766832701982,-1.2877766832701982,0.0030731670558452606,0.01852679206058383,119.07777883298695,119.09937879210338,3.019433156973231,3.019060973328956
